"Company Name","Address","City","State","Location ZIP Code","Phone","Fax Number Combined","Primary SIC Code","Primary SIC Description","Executive First Name","Executive Last Name","Executive Gender","Executive Title"
"Tim Robertson Software Svc","1346 The Alameda # 7-133","San Jose","CA","95126","(408) 600-8022","Not Available","737206","Computer Software","Tim","Robertson","Male","Manager"
"San Carlos Software Instn","1665 W San # F","San Jose","CA","95128","(408) 606-8690","Not Available","737206","Computer Software","","","",""
"Bigbear Ai Holdings Inc","6811 Benjamin Franklin Dr #200","Columbia","MD","21046","(410) 312-0085","Not Available","737206","Computer Software","Reginald","Brothers","Male","Chief Executive Officer"
"Webullar Inc","430 Park Ave","New York","NY","10022","(415) 315-9548","Not Available","737415","Internet Service","Avichay","Dahan","","Chief Executive Officer"
"K K Gaming Inc","823 Carolina St","San Francisco","CA","94107","(415) 366-3665","Not Available","737206","Computer Software","Kashif","Amin","Male","President"
"Mammoth Software Inc","541 Divisadero St","San Francisco","CA","94117","(415) 376-7347","Not Available","737206","Computer Software","Gaurav","Dudhoria","Male","Manager"
"Dayzero Software Inc","55 Hudson Yards","New York","NY","10001","(415) 527-9628","Not Available","737206","Computer Software","","","",""
"A6 G6 Inc","1355 Market St # 488","San Francisco","CA","94103","(415) 702-0653","Not Available","737206","Computer Software","Apoorva","Govind","Female","Chief Executive Officer"
"Foxglove Technologies Inc","548 Market St # 21536","San Francisco","CA","94104","(415) 707-0071","Not Available","737206","Computer Software","Adrian","Macneil","Male","Manager"
"Sprig Technologies Inc","140 2d St","San Francisco","CA","94105","(415) 757-0880","Not Available","737206","Computer Software","Ryan","Glasgow","Male","Chief Executive Officer"
"Functional Software Inc","45 Fremont St # 8","San Francisco","CA","94105","(415) 823-8009","Not Available","737206","Computer Software","","","",""
"Fabrica Software LLC","2733 Irving St","San Francisco","CA","94122","(415) 890-5334","Not Available","737206","Computer Software","Bryan","Trowbridge","Male","Manager"
"Multiplatinum Internet Cafe","32651 State Highway 86","Eagle Rock","MO","65641","(417) 271-0478","Not Available","737415","Internet Service","","","",""
"Bellagio","1715 S Madison St","Webb City","MO","64870","(417) 717-5026","Not Available","737415","Internet Service","Oanh","Tran","Female","Owner"
"Century Link","","New Tazewell","TN","37825","(423) 526-0003","Not Available","737415","Internet Service","","","",""
"Foodlz Inc","21255 Burbank Blvd","Woodland Hills","CA","91367","(425) 230-7592","Not Available","737505","Online Services","Ayman","Haddad","Male","Manager"
"Intermax Networks","707 S Grady Way # 600","Renton","WA","98057","(425) 981-5700","Not Available","737415","Internet Service","","","",""
"Beacon Software","","Severna Park","MD","21146","(440) 237-6653","Not Available","737206","Computer Software","","","",""
"Spectrum","","Elyria","OH","44035","(440) 448-2022","Not Available","737415","Internet Service","","","",""
"Thomson Reuters","24197 Woodmere Dr","North Olmsted","OH","44070","(440) 734-9000","Not Available","737206","Computer Software","","","",""
"Broadband Office Solutions","","Willoughby","OH","44094","(440) 953-3197","Not Available","737415","Internet Service","","","",""
"A Plus Tax Software LLC","5739 Crowley Rd # A","Fort Worth","TX","76134","(469) 902-7587","Not Available","737206","Computer Software","Jada","Henderson","Female","Manager"
"Ecommerce Solutions","2411 Bailey Dr","Norcross","GA","30071","(470) 257-8676","Not Available","737102","Computer Programming Services","Jorge","Guzman","Male","Owner"
"Autodesk","910 Forest Pond Dr","Marietta","GA","30068","(470) 375-7133","Not Available","737206","Computer Software","","","",""
"99tech LLC","526 Grenier Ter","Lawrenceville","GA","30045","(470) 546-2135","Not Available","737298","Prepackaged Software","Nancy","Inbanathan","Female","Owner"
"Tracy Software Consulting LLC","2395 Westminster Ave NW","Salem","OR","97304","(503) 540-1983","Not Available","737206","Computer Software","","","",""
"Red Bolt Broadband","200 E High St","Grants","NM","87020","(505) 658-2487","Not Available","737415","Internet Service","","","",""
"Federated Broadband","77100 Highway 71 S","Jackson","MN","56143","(507) 847-1001","Not Available","737415","Internet Service","","","",""
"Amy Yates Software","225 4th Ave SE","Harmony","MN","55939","(507) 886-3930","Not Available","737206","Computer Software","Amy","Yates","Female","Owner"
"USA Datanet Corp","","Taunton","MA","02780","(508) 821-7999","Not Available","737415","Internet Service","","","",""
"Launchpad Software Inc","1233 York Ave # 15b","New York","NY","10065","(508) 847-5051","Not Available","737206","Computer Software","Andrew","Montague","Male","Manager"
"Genesis Software","7230 N Drumheller St","Spokane","WA","99208","(509) 505-0896","Not Available","737206","Computer Software","","","",""
"East Bay Software Inc","41041 Trimboli Way","Fremont","CA","94538","(510) 304-3785","Not Available","737206","Computer Software","Xiaoshan","Zuo","","Manager"
"Win-911 Software","115 Kohlers Xing # 430","Kyle","TX","78640","(512) 504-3076","Not Available","737206","Computer Software","","","",""
"Dataweb Inc","521 Grande St","Driftwood","TX","78619","(512) 829-5556","Not Available","737505","Online Services","","","",""
"Arvi Webaholic Inc","560 Lakeville Rd # 2a","New Hyde Park","NY","11040","(516) 787-9465","Not Available","737415","Internet Service","Vishal","Bhagat","Male","Owner"
"Creative Compliance Software","36 Long Aly","Saratoga Springs","NY","12866","(518) 584-1704","Not Available","737206","Computer Software","","","",""
"Mixpoly LLC","3293 Foothill Vista Dr","Cottonwood","CA","96022","(530) 360-7697","Not Available","737102","Computer Programming Services","Russ","Greer","Male","Chief Executive Officer"
"T K Industries","3350 Auburn Blvd # 21","Sacramento","CA","95821","(530) 491-9998","Not Available","737415","Internet Service","Kazsa","Miller","Female","Owner"
"Broadband Connect LLC","121 Mall Rd","Covington","VA","24426","(540) 962-8692","Not Available","737415","Internet Service","","","",""
"Solvent Traps Direct","62924 Wolf Creek Ln","North Powder","OR","97867","(541) 898-2707","Not Available","737505","Online Services","Julie","Winton","Female","Owner"
"Westside Family Preservation","16928 11th St","Huron","CA","93234","(559) 945-1022","Not Available","737415","Internet Service","Aurora","Ramierez","Female","Manager"
"Skybo Software LLC","1542 Kern St # 3","Fresno","CA","93706","(559) 991-3312","Not Available","737206","Computer Software","William","Green","Male","Manager"
"2u","980 N Federal Hwy # 308","Boca Raton","FL","33432","(561) 931-2910","Not Available","737298","Prepackaged Software","","","",""
"Red Star Internet","1181 S Rogers Cir","Boca Raton","FL","33487","(561) 961-0215","Not Available","737415","Internet Service","","","",""
"Johnston Software","4338 Katella Ave","Los Alamitos","CA","90720","(562) 296-5858","Not Available","737206","Computer Software","","","",""
"Charter High Speed Internet","","Farmington","MO","63640","(573) 760-5599","Not Available","737415","Internet Service","","","",""
"Spectrum","","Webster","NY","14580","(585) 351-2961","Not Available","737415","Internet Service","","","",""
"US Socket Screw","33891 Doreka","Fraser","MI","48026","(586) 200-5903","Not Available","737415","Internet Service","","","",""
"Chicago Soft","16 Buck Rd","Hanover","NH","03755","(603) 277-2157","Not Available","737206","Computer Software","Steven","Bird","Male","Vice President"
"Spectrum","","North Conway","NH","03860","(603) 518-6204","Not Available","737415","Internet Service","","","",""
"Vast Broadband Madison","421 NW 2nd St","Madison","SD","57042","(605) 427-7109","Not Available","737415","Internet Service","","","",""
"Vast Broadband","22 2 St","Sioux Falls","SD","57108","(605) 427-7933","Not Available","737415","Internet Service","","","",""
"Choice Software LLC","102 Rachel Carson Way","Ithaca","NY","14850","(607) 275-9010","Not Available","737206","Computer Software","Ray","Gasser","Male","Manager"
"Spectrum","716 N Midvale Blvd","Madison","WI","53705","(608) 208-1293","Not Available","737415","Internet Service","","","",""
"Gold Goddess LLC","46 Colonial Ave","Trenton","NJ","08618","(609) 218-6156","Not Available","737505","Online Services","Latasha","Mcneil","Female","Owner"
"George Salnikov Software","274 Sayre Dr","Princeton","NJ","08540","(609) 454-3212","Not Available","737206","Computer Software","George","Salnikov","Male","Owner"
"4 Internet Svc","901 Fayette St","Conshohocken","PA","19428","(610) 678-1444","Not Available","737415","Internet Service","","","",""
"CPA Technology","15 Cynwyd Rd","Bala Cynwyd","PA","19004","(610) 862-0042","Not Available","737206","Computer Software","Ben","Hofferman","Male","Owner"
"Hcl America Inc","718 Washington Ave N # 101","Minneapolis","MN","55401","(612) 236-1410","Not Available","737206","Computer Software","","","",""
